"Recipient","Funder.Type","Funder.Type.Committed","Funder.Type.Disbursed","Democracy.Score","Political.Rights","Civil.Liberties","X2019.FDI.Inflows","X2019.GNI.Per.Capita","X2018.Health.Expenditures","X2020.Population","X2019.Dev..Asst.","Ready.Score","Prevent.Score","Detect.Score","Respond.Score","other","Amount.Committed.Individual","Amount.Disbursed.Individual","Projects","Democracy.Category","Cases","Deaths","Per.Capita.Committed","Per.Capita.Disbursed","Per.Capita.Cases","Per.Capita.Deaths","Per.hundredk.Cases","Per.hundredk.Deaths","Funder.Type.Per.Capita.Disbursed"
"Rwanda","Government",52389646.5072549,52665795.1760784,21,8,13,384461863.6,830,58.30852127,12952209,1191099976,59,60,61,60,50,223790258.967255,207280455.425364,54,"Not Free",97951,1288,17.2781537857562,16.0034829136377,0.00756249378001853,9.94424966428507e-05,756.249378001853,9.94424966428507,4.06616316769429
"Sao Tome and Principe","Government",0,86152.33,84,35,49,24191799.51,1950,125.4003983,219161,51369998.93,34,37,38,35,23,19215580.87,16522528.56,15,"Free",3536,53,87.6779211173521,75.3899122562865,0.0161342574636911,0.000241831347730664,1613.42574636911,24.1831347730664,0.393100642906357
"Senegal","Government",246699354.871422,24352452.9956618,71,29,42,983338154,1430,58.90360641,16743930,1443880005,45,41,59,44,37,511791676.598189,158524436.805763,66,"Partly Free",73802,1860,30.5658036433615,9.46757641758911,0.00440768684532245,0.000111085032008614,440.768684532245,11.1085032008614,1.45440484973729
"Serbia","Government",464862336.348,33921584.048,64,22,42,4268709250,7030,617.0865479,6908224,570700012.2,55,56,62,53,47,592185550.348,49435434.048,29,"Partly Free",966989,8430,85.7218223306019,7.15602650522044,0.13997649757738,0.00122028469256353,13997.649757738,122.028469256353,4.91031907014017
"Sierra Leone","Government",5202424.46958333,5083600.80958333,65,28,37,342447726.8,540,85.77548218,7976985,594640014.6,43,36,51,51,37,54333212.6141288,50643653.8167955,49,"Partly Free",6396,121,6.81124668206456,6.34872120441438,0.000801806697643283,1.5168638276241e-05,80.1806697643283,1.5168638276241,0.637283486127068
"Somalia","Government",40120934.811,79158627.519,7,1,6,4.47e+08,320,NA,15893219,1865579956,29,23,37,36,20,59055365.9285,112059919.667591,94,"Not Free",20577,1137,3.71575864703683,7.0508007010783,0.00129470310577108,7.15399441736756e-05,129.470310577108,7.15399441736756,4.98065417200883
"South Africa","Government",7236945.29142157,11456312.5189951,79,33,46,5116098443,6040,525.9569092,59308690,971479980.5,62,64,65,60,60,546264096.538088,427878457.325662,77,"Free",2906851,87819,9.21052372827807,7.21443109476304,0.0490122273818558,0.00148071049959121,4901.22273818558,148.071049959121,0.193164147092021
"South Sudan","Government",42334343.7150321,52546348.8470321,2,-2,4,-231840000,NA,26.78586388,11193729,1885270020,30,33,42,23,20,132230002.244578,98686364.4182442,79,"Not Free",12041,130,11.8128643497245,8.81621883272716,0.00107569157695349,1.16136454616688e-05,107.569157695349,1.16136454616688,4.69426666011229
"Sri Lanka","Government",301468.03525,1534785.52,56,23,33,758186663.2,4010,157.4658508,21919000,197350006.1,57,59,65,51,50,573806464.72525,307589841.12,43,"Partly Free",521218,13102,26.1784964973425,14.0330234554496,0.0237792782517451,0.00059774624754779,2377.92782517451,59.774624754779,0.0700207819699804
"Sudan","Government",83962762.8493654,81504953.6373654,17,2,15,825354992.3,820,60.17465973,43849269,1624670044,57,54,50,75,43,232554081.319365,120384101.345699,85,"Not Free",38345,2909,5.3034882136659,2.74540725743224,0.000874472958716826,6.63409006886751e-05,87.4472958716826,6.63409006886751,1.85875284802046
"Tajikistan","Government",2127025.94208333,2194844.61875,8,0,8,212809730.7,1070,59.84311676,9537642,366559997.6,60,57,51,68,63,30330953.9420833,20537508.59875,29,"Not Free",17484,125,3.18013130940366,2.15331091256623,0.00183315750371004,1.31059647657146e-05,183.315750371004,1.31059647657146,0.230124449916447
"Thailand","Government",284286.54,1151528.36375,30,5,25,4816635832,7260,275.9165039,69799978,-338200012.2,76,79,74,72,77,1503163993.78,756041391.305893,31,"Not Free",1647362,17111,21.5353075581199,10.8315419713441,0.0236011822238683,0.000245143343741455,2360.11822238683,24.5143343741455,0.0164975462277366
"Timor-Leste","Government",1195480.88,11770452.72,72,33,39,74580323.02,2020,93.69417572,1318442,235929992.7,34,36,43,30,27,16264303.98,23889398.05,23,"Free",19592,118,12.3360026303774,18.1194152264567,0.0148599635023763,8.94995760147204e-05,1485.99635023763,8.94995760147204,8.92754684696028
"Togo","Government",3739151.91,4736388.01,43,15,28,345697547,920,41.83677292,8278737,411619995.1,36,36,48,32,27,83784465.23,69331289.07,20,"Partly Free",25586,234,10.1204405007672,8.37462152379041,0.00309056804196099,2.82651810294251e-05,309.056804196099,2.82651810294251,0.572114805676276
"Tunisia","Government",310110143.673333,41106841.6058333,71,32,39,810173457.7,3340,251.5467224,11818618,984030029.3,59,57,65,62,50,972083711.763333,323864429.265833,55,"Free",708203,24934,82.2502014840765,27.4029018677,0.0599226576237594,0.00210972213502459,5992.26576237594,210.972213502459,3.47814284257545
"Turkmenistan","Government",0,43196.15,2,0,2,2165862500,7220,460.1751404,6031187,25360000.61,65,69,60,67,60,20248775,291971.15,3,"Not Free",NA,NA,3.3573449140277,0.0484102300260297,NA,NA,NA,NA,0.00716213077127272
"Uganda","Government",13674271.978037,41806264.0421938,34,11,23,1266026788,780,43.13787842,45741000,2100010010,51,52,64,49,33,383686481.48637,419951833.005146,164,"Not Free",124039,3162,8.38823990481997,9.18108115268897,0.00271176843532061,6.91283531186463e-05,271.176843532061,6.91283531186463,0.913977920075946
"United Republic of Tanzania","Government",61003827.3976438,14537646.5226062,34,12,22,990626173.7,1100,36.82281494,59734213,2153139893,49,51,54,40,50,118994400.197644,87541356.5526062,69,"Partly Free",NA,NA,1.99206441704763,1.46551452101003,NA,NA,NA,NA,0.243372194802436
"United States of America","Government",3.5e+07,0,83,32,51,3.51631e+11,65910,10623.84961,329484123,NA,87,87,91,88,80,35836508,16574992,100,"Free",NA,NA,0.10876550795135,0.0503058898531508,NA,NA,NA,NA,0
"Viet Nam","Government",3346063.40431818,3385226.94787879,19,3,16,1.612e+10,2590,151.6861115,97338583,1094630005,57,65,62,46,47,117400345.779318,27489694.1400216,48,"Not Free",NA,NA,1.20610288501239,0.282413132519318,NA,NA,NA,NA,0.0347778531754339
"Zambia","Government",20167426.3755882,15013925.5760784,52,20,32,547967909.6,1430,75.99179077,18383956,976280029.3,42,48,52,31,37,59718541.4901337,61284207.9906239,54,"Partly Free",209172,3649,3.24840537532475,3.33357020603312,0.0113779645686706,0.000198488290550739,1137.79645686706,19.8488290550739,0.816686331063805
"Zimbabwe","Government",19264604.9432953,44536060.5030683,28,11,17,2.8e+08,1200,140.3203125,14862927,974890014.6,40,42,59,28,30,57580529.4555175,113188963.701767,79,"Not Free",131129,4627,3.87410430364877,7.61552308652036,0.00882255561101794,0.000311311493355246,882.255561101794,31.1311493355246,2.9964528859671
