"","Recipient","Democracy.Score","Political.Rights","Civil.Liberties","X2019.FDI.Inflows","X2019.GNI.Per.Capita","X2018.Health.Expenditures","X2020.Population","Ready.Score","Prevent.Score","Detect.Score","Respond.Score","other","Amount.Committed.Individual","Amount.Disbursed.Individual","Projects","Democracy.Category","Cases","Deaths","Per.Capita.Committed","Per.Capita.Disbursed","Per.Capita.Cases","Per.Capita.Deaths","Per.hundredk.Cases","Per.hundredk.Deaths","country_code","2015 Dev. Asst.","2016 Dev. Asst.","2017 Dev. Asst.","2018 Dev. Asst.","2019 Dev. Asst."
"17","Chad",17,3,14,566638950.9,700,29.23851013,16425859,29,32,40,23,20,118462485.351667,120353874.082576,44,"Not Free",5044,174,7.2119507023448,7.32709772332611,0.000307076786669117,0.0000105930533069838,30.7076786669117,1.05930533069838,"TCD",606409973.1,624460022,648979980.5,875159973.1,707049987.8
"18","Comoros",42,16,26,3677361.421,1400,65.22776031,869595,34,38,46,27,20,50756957.3,33644572.99,9,"Partly Free",4155,147,58.3685017738142,38.6899338082671,0.00477808635054249,0.000169044210235799,477.808635054249,16.9044210235799,"COM",65779998.78,53750000,67220001.22,90940002.44,78239997.86
"19","Djibouti",24,5,19,175000000,3310,70.86093903,988002,31,35,38,23,23,68379803.31,30199919.32,13,"Not Free",12976,172,69.2101871352487,30.5666580836881,0.0131335766526788,0.000174088716419602,1313.35766526788,17.4088716419602,"DJI",173389999.4,185350006.1,142610000.6,179210006.7,272480011
"20","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550000,383639.07,4,"Not Free",6723,42,NA,NA,NA,NA,NA,NA,"ERI",93919998.17,66819999.69,79199996.95,84239997.86,276929992.7
"21","Eswatini",19,1,18,127970922,3670,271.1400757,1160164,36,36,47,33,27,13710537.57,10501042.64,17,"Not Free",46097,1224,11.8177581531577,9.05134329284481,0.0397331756544764,0.00105502325533287,3973.31756544764,105.502325533287,"SWZ",92629997.25,147639999.4,147610000.6,121300003.1,73400001.53
"22","Ethiopia",22,9,13,2516228020,850,24.22611809,114963583,52,56,59,50,33,858909770.780928,491593058.431265,179,"Not Free",349231,5765,7.47114650020023,4.27607635046713,0.00303775326835455,0.0000501463145942485,303.775326835455,5.01463145942485,"ETH",3238889893,4084370117,4124750000,4941029785,4809970215
"23","Gabon",22,3,19,1553136883,7170,218.3686066,2225728,27,22,40,25,23,194613624.04,136181076.17,16,"Not Free",31058,194,87.4381883320873,61.1849588853625,0.013954086033873,0.0000871624924519079,1395.4086033873,8.71624924519079,"GAB",98779998.78,41619998.93,106349998.5,116959999.1,116709999.1
"24","Gambia",46,20,26,32266071.55,750,22.15542793,2416664,32,34,38,30,27,37368886.7908333,33204998.0408333,18,"Partly Free",9935,338,15.4630047002121,13.7400143507055,0.00411103901907754,0.000139862223296246,411.103901907754,13.9862223296246,"GMB",113940002.4,91989997.86,284489990.2,234130004.9,194039993.3
"25","Georgia",60,23,37,1341122820,4690,312.7469177,3714000,57,60,79,45,43,618220477.585,657532070.97,41,"Partly Free",618620,9068,166.456779102046,177.041483836834,0.166564351103931,0.00244157242864836,16656.4351103931,244.157242864836,"GEO",448929992.7,462739990.2,447440002.4,589859985.4,496730011
"26","Ghana",82,35,47,3879831470,2210,77.91143036,31072945,45,48,51,36,47,499507990.966573,197294078.141874,73,"Free",127482,1156,16.075334699256,6.34938458977332,0.00410266873642006,0.0000372027820343389,410.266873642006,3.72027820343389,"GHA",1770479980,1318650024,1263550049,1067540039,936320007.3
