,country,2019 GNI Per Capita,2018 Health Expenditures,2019 FDI Inflows,Per.hundredk.Cases,Per.hundredk.Deaths,samp_status
170,Timor-Leste,2020,93.69417572,74580323.02,1485.99635,8.949957601,In-Sample
171,Togo,920,41.83677292,345697547,309.0568042,2.826518103,In-Sample
174,Tunisia,3340,251.5467224,810173457.7,5992.265762,210.9722135,In-Sample
176,Turkmenistan,7220,460.1751404,2165862500,NA,NA,In-Sample
177,Uganda,780,43.13787842,1266026788,271.1768435,6.912835312,In-Sample
181,United Republic of Tanzania,1100,36.82281494,990626173.7,43.26833602,1.20366531,In-Sample
182,United States of America,65910,10623.84961,3.52E+11,13322.15968,213.9581093,In-Sample
187,Viet Nam,2590,151.6861115,16120000000,836.2162001,20.38759903,In-Sample
189,Zambia,1430,75.99179077,547967909.6,1137.796457,19.84882906,In-Sample
190,Zimbabwe,1200,140.3203125,280000000,882.2555611,31.13114934,In-Sample
13,Bahrain,22170,994.1790161,941755319.1,16177.81795,81.62987054,Out-of-Sample (No Funding Data OR Covid Cases)
17,Belgium,47960,4912.700684,-28965673808,10832.96404,221.8069112,Out-of-Sample (No Funding Data OR Covid Cases)
25,Brunei Darussalam,32230,763.1528931,373256767.2,1806.698775,13.71481863,Out-of-Sample (No Funding Data OR Covid Cases)
29,Cote d'Ivoire,2290,71.88140869,848881139.4,229.0672912,2.426239017,Out-of-Sample (No Funding Data OR Covid Cases)
60,Finland,49960,4515.677246,15768223069,2593.080574,19.59962168,Out-of-Sample (No Funding Data OR Covid Cases)
71,Guinea-Bissau,800,53.29457474,71658680.34,310.5694213,6.859763069,Out-of-Sample (No Funding Data OR Covid Cases)
94,Latvia,17730,1101.492554,1059246101,8525.685389,144.2508945,Out-of-Sample (No Funding Data OR Covid Cases)
100,Lithuania,19000,1249.254639,1573981541,12113.35743,182.0231152,Out-of-Sample (No Funding Data OR Covid Cases)
125,North Macedonia,5840,399.0970764,549500829.9,9247.184863,322.5047759,Out-of-Sample (No Funding Data OR Covid Cases)
127,Oman,14150,678.2310181,3419765930,5948.531143,80.20957886,Out-of-Sample (No Funding Data OR Covid Cases)
137,Qatar,61180,1716.265137,-2812637363,8225.791896,21.03392501,Out-of-Sample (No Funding Data OR Covid Cases)
149,Saudi Arabia,22840,1484.593384,4562573671,1571.597892,25.03600074,Out-of-Sample (No Funding Data OR Covid Cases)
156,Slovenia,25910,2169.579102,1709955186,14098.34458,218.1297694,Out-of-Sample (No Funding Data OR Covid Cases)
179,United Arab Emirates,43470,1817.347656,13787465940,7450.628893,21.26304295,Out-of-Sample (No Funding Data OR Covid Cases)
3,Algeria,4010,255.8694305,1381269144,465.0174455,13.28588695,Out-of-Sample (No JEE Scores OR Covid Cases)
7,Argentina,11130,1127.907227,6663062112,11593.42062,254.0573465,Out-of-Sample (No JEE Scores OR Covid Cases)
10,Austria,51390,5326.437012,-8100275768,8413.275236,123.7383238,Out-of-Sample (No JEE Scores OR Covid Cases)
11,Azerbaijan,4490,165.7674408,1503918000,4810.805336,65.12289275,Out-of-Sample (No JEE Scores OR Covid Cases)
12,Bahamas,33460,2013.379272,264596251.7,5419.480837,141.6408984,Out-of-Sample (No JEE Scores OR Covid Cases)
15,Barbados,17380,1164.544556,215370000,3203.176382,28.18656023,Out-of-Sample (No JEE Scores OR Covid Cases)
16,Belarus,6370,356.2507324,1273300000,5807.544127,44.68626571,Out-of-Sample (No JEE Scores OR Covid Cases)
18,Belize,4700,285.9858398,93910241.7,5387.542408,106.1312154,Out-of-Sample (No JEE Scores OR Covid Cases)
22,Bosnia and Herzegovina,6180,539.5466309,390210690.9,7224.332978,326.9309608,Out-of-Sample (No JEE Scores OR Covid Cases)
24,Brazil,9270,848.388855,69174411753,10107.04777,281.5241173,Out-of-Sample (No JEE Scores OR Covid Cases)
26,Bulgaria,9570,689.9053955,2075750000,7344.865696,306.2670413,Out-of-Sample (No JEE Scores OR Covid Cases)
36,Chile,14990,1455.60791,12586607704,8669.375816,196.1686023,Out-of-Sample (No JEE Scores OR Covid Cases)
37,China,10390,501.0593872,1.87E+11,7.744602428,0.345835425,Out-of-Sample (No JEE Scores OR Covid Cases)
38,Colombia,6580,513.1586914,14313590447,9754.2486,248.4627247,Out-of-Sample (No JEE Scores OR Covid Cases)
41,Costa Rica,12070,909.6730957,2505080215,10559.55952,127.4804608,Out-of-Sample (No JEE Scores OR Covid Cases)
42,Croatia,14990,1014.222351,1170052265,10103.72603,214.5928049,Out-of-Sample (No JEE Scores OR Covid Cases)
43,Cuba,NA,986.9373169,NA,7908.090113,67.25751098,Out-of-Sample (No JEE Scores OR Covid Cases)
44,Cyprus,27930,1954.40686,25930367780,9980.279303,45.88519921,Out-of-Sample (No JEE Scores OR Covid Cases)
47,Denmark,64000,6216.768555,-7499269283,6211.522988,45.71797804,Out-of-Sample (No JEE Scores OR Covid Cases)
49,Dominica,7870,490.8182983,32551851.85,5138.142268,30.55937548,Out-of-Sample (No JEE Scores OR Covid Cases)
50,Dominican Republic,8100,461.542511,2829200000,3331.537595,37.38049304,Out-of-Sample (No JEE Scores OR Covid Cases)
51,Ecuador,6100,516.2479858,961608329.5,2896.062248,185.9371334,Out-of-Sample (No JEE Scores OR Covid Cases)
52,Egypt,2690,125.545372,9010100000,300.5528844,17.07050561,Out-of-Sample (No JEE Scores OR Covid Cases)
53,El Salvador,3990,288.5174561,696287032.8,1608.769139,50.76931782,Out-of-Sample (No JEE Scores OR Covid Cases)
54,Equatorial Guinea,6280,314.2987671,452287114.4,893.2383454,10.69148993,Out-of-Sample (No JEE Scores OR Covid Cases)
59,Fiji,5800,214.5537872,322282826.1,5714.132729,70.72388236,Out-of-Sample (No JEE Scores OR Covid Cases)
61,France,42290,4690.072266,51038713851,10567.35395,174.5870872,Out-of-Sample (No JEE Scores OR Covid Cases)
65,Germany,48550,5472.202148,67618997074,5123.707473,112.7900142,Out-of-Sample (No JEE Scores OR Covid Cases)
67,Greece,19690,1566.899902,4999635990,6191.311336,139.5728768,Out-of-Sample (No JEE Scores OR Covid Cases)
68,Grenada,9830,474.5328064,131044444.4,4829.406589,143.9756841,Out-of-Sample (No JEE Scores OR Covid Cases)
69,Guatemala,4610,259.6201782,1169327140,3361.162696,81.56203819,Out-of-Sample (No JEE Scores OR Covid Cases)
72,Guyana,6630,295.5578919,1695179887,4129.760132,101.5816995,Out-of-Sample (No JEE Scores OR Covid Cases)
73,Haiti,1330,64.24588013,75000000,192.6940268,5.393538436,Out-of-Sample (No JEE Scores OR Covid Cases)
75,Honduras,2390,176.2472687,955095298,3718.713552,99.73135736,Out-of-Sample (No JEE Scores OR Covid Cases)
78,India,2120,72.83453369,50610647354,2453.111625,32.55496902,Out-of-Sample (No JEE Scores OR Covid Cases)
82,Ireland,63470,5489.070801,-46633226471,7898.714724,105.0908919,Out-of-Sample (No JEE Scores OR Covid Cases)
83,Israel,43070,3323.650635,19047100000,14033.98106,85.0936866,Out-of-Sample (No JEE Scores OR Covid Cases)
84,Italy,34830,2988.99585,31185214397,7864.53335,220.0825291,Out-of-Sample (No JEE Scores OR Covid Cases)
85,Jamaica,5260,320.9763184,665415555,2867.591462,64.90697399,Out-of-Sample (No JEE Scores OR Covid Cases)
88,Kazakhstan,8820,275.8546143,3320645021,5175.393134,86.26757184,Out-of-Sample (No JEE Scores OR Covid Cases)
90,Kiribati,3340,196.8479767,-558280.5023,1.674396799,0,Out-of-Sample (No JEE Scores OR Covid Cases)
111,Mexico,9480,519.6054688,29375485438,2857.491145,216.4740871,Out-of-Sample (No JEE Scores OR Covid Cases)
119,Nepal,1230,57.84656143,185554758.7,2738.817512,38.35011714,Out-of-Sample (No JEE Scores OR Covid Cases)
120,Netherlands,53010,5306.534668,35689139761,11744.11832,106.661612,Out-of-Sample (No JEE Scores OR Covid Cases)
122,Nicaragua,1900,173.7661133,503000000,218.0977014,3.079452594,Out-of-Sample (No JEE Scores OR Covid Cases)
130,Panama,14900,1131.660156,5891326086,10843.24812,167.8885168,Out-of-Sample (No JEE Scores OR Covid Cases)
131,Papua New Guinea,2750,63.7678833,333974905.4,235.0724995,2.615393918,Out-of-Sample (No JEE Scores OR Covid Cases)
132,Paraguay,5510,400.3927307,596238194.4,6450.17967,227.170443,Out-of-Sample (No JEE Scores OR Covid Cases)
133,Peru,6790,369.0784607,8891912446,6608.483492,605.0161705,Out-of-Sample (No JEE Scores OR Covid Cases)
140,Romania,12610,687.2543945,7365441774,6606.402956,195.3580821,Out-of-Sample (No JEE Scores OR Covid Cases)
141,Russian Federation,11250,609.0091553,31974770000,5204.571585,143.6850365,Out-of-Sample (No JEE Scores OR Covid Cases)
144,Saint Lucia,11080,464.709137,30640740.74,6367.730587,113.8164451,Out-of-Sample (No JEE Scores OR Covid Cases)
145,Saint Vincent and the Grenadines,7460,329.2566528,113066666.7,3403.426861,29.74393179,Out-of-Sample (No JEE Scores OR Covid Cases)
146,Samoa,4200,227.3279266,1019329.508,1.512020563,0,Out-of-Sample (No JEE Scores OR Covid Cases)
157,Solomon Islands,2370,94.96378326,32787092.72,2.911725226,0,Out-of-Sample (No JEE Scores OR Covid Cases)
161,Spain,30330,2736.323242,14813334470,10486.24009,182.733129,Out-of-Sample (No JEE Scores OR Covid Cases)
164,Suriname,6340,474.1265564,72402793.87,7281.541813,156.6564502,Out-of-Sample (No JEE Scores OR Covid Cases)
165,Sweden,56090,5981.706055,16611719241,11142.71949,143.6044168,Out-of-Sample (No JEE Scores OR Covid Cases)
167,Syrian Arab Republic,NA,NA,NA,201.5124346,13.06808082,Out-of-Sample (No JEE Scores OR Covid Cases)
172,Tonga,5000,236.9345398,1742414.095,0,0,Out-of-Sample (No JEE Scores OR Covid Cases)
173,Trinidad and Tobago,16580,1123.423706,183972765.3,3671.834974,107.7534618,Out-of-Sample (No JEE Scores OR Covid Cases)
175,Turkey,9690,389.8655701,9266000000,8616.465961,76.96196118,Out-of-Sample (No JEE Scores OR Covid Cases)
178,Ukraine,3370,228.3900757,5833000000,5828.355938,137.383985,Out-of-Sample (No JEE Scores OR Covid Cases)
183,Uruguay,17740,1590.048218,1305948252,11205.83166,174.3948215,Out-of-Sample (No JEE Scores OR Covid Cases)
184,Uzbekistan,1800,82.26926422,2316482962,513.3055134,3.648627529,Out-of-Sample (No JEE Scores OR Covid Cases)
185,Vanuatu,3360,105.3915863,34774936.75,1.302295295,0.325573824,Out-of-Sample (No JEE Scores OR Covid Cases)
188,Yemen,NA,NA,-370982777.8,30.89254303,5.843900858,Out-of-Sample (No JEE Scores OR Covid Cases)
4,Andorra,NA,2821.80127,NA,19759.27004,168.2521193,Out-of-Sample (No JEE Scores OR Funding Data OR Covid Cases)
